timestamp,Review_Count
2007-08,1
2008-04,1
2008-09,1
2008-12,1
2009-03,1
2009-04,2
2009-05,2
2009-07,1
2009-08,2
2009-10,1
2010-01,2
2010-03,1
2010-04,4
2010-06,2
2010-07,2
2010-08,1
2010-09,2
2010-10,5
2010-11,3
2011-01,2
2011-02,1
2011-03,1
2011-04,4
2011-05,1
2011-06,6
2011-07,13
2011-08,39
2011-09,51
2011-10,58
2011-11,79
2011-12,105
2012-01,176
2012-02,196
2012-03,162
2012-04,121
2012-05,138
2012-06,171
2012-07,160
2012-08,9
2012-09,10
2012-10,6
2012-11,12
2012-12,5
2013-01,12
2013-02,7
2013-03,1
2013-04,6
2013-05,6
2013-06,5
2013-07,4
2013-08,12
2013-09,5
2013-10,12
2013-11,10
2013-12,8
2014-01,16
2014-02,22
2014-03,13
2014-04,12
2014-05,7
2014-06,10
2014-07,9
2014-08,9
2014-09,16
2014-10,24
2014-11,15
2014-12,13
2015-01,13
2015-02,13
2015-03,16
2015-04,11
2015-05,14
2015-06,18
2015-07,15
2015-08,15
2015-09,16
2015-10,12
2015-11,9
2015-12,23
2016-01,24
2016-02,24
2016-03,24
2016-04,19
2016-05,36
2016-06,18
2016-07,26
2016-08,26
2016-09,25
2016-10,30
2016-11,39
2016-12,26
2017-01,39
2017-02,29
2017-03,27
2017-04,37
2017-05,60
2017-06,65
2017-07,33
2017-08,67
2017-09,49
2017-10,64
2017-11,71
2017-12,75
2018-01,78
2018-02,53
2018-03,76
2018-04,64
2018-05,66
2018-06,85
2018-07,81
2018-08,75
2018-09,96
2018-10,97
2018-11,126
2018-12,144
2019-01,126
2019-02,101
2019-03,97
2019-04,132
2019-05,121
2019-06,145
2019-07,218
2019-08,237
2019-09,213
2019-10,271
2019-11,267
2019-12,385
2020-01,317
2020-02,211
2020-03,141
2020-04,201
2020-05,298
2020-06,240
2020-07,191
2020-08,223
2020-09,161
2020-10,199
2020-11,203
2020-12,253
2021-01,305
2021-02,234
2021-03,216
2021-04,256
2021-05,260
2021-06,167
2021-07,212
2021-08,214
2021-09,226
2021-10,202
2021-11,208
2021-12,250
2022-01,191
2022-02,137
2022-03,123
2022-04,134
2022-05,128
2022-06,190
2022-07,229
2022-08,225
2022-09,220
2022-10,244
2022-11,290
2022-12,440
2023-01,346
2023-02,323
2023-03,354
2023-04,295
2023-05,321
2023-06,318
2023-07,378
2023-08,345
2023-09,279
2023-10,311
2023-11,354
2023-12,393
2024-01,286
2024-02,288
2024-03,291
2024-04,284
2024-05,307
2024-06,349
2024-07,399
2024-08,374
2024-09,242
